"ZCTA5","ZIPNAME","COUNTY","CBSA","CBSA_NAME","MSA","MSA_NAME"
"98584","SHELTON","Mason WA","43220","Shelton, WA","43220"," "
"98585","SILVER CREEK","Lewis WA","16500","Centralia, WA","16500"," "
"98585","SILVER CREEK","Lewis WA","16500","Centralia, WA","16500"," "
"98585","SILVER CREEK","Lewis WA","16500","Centralia, WA","16500"," "
"98586","SOUTH BEND","Pacific WA",NA," ",NA," "
"98586","SOUTH BEND","Pacific WA",NA," ",NA," "
"98587","TAHOLAH","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98588","TAHUYA","Mason WA","43220","Shelton, WA","43220"," "
"98589","TENINO","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98590","TOKELAND","Pacific WA",NA," ",NA," "
"98591","TOLEDO","Lewis WA","16500","Centralia, WA","16500"," "
"98591","TOLEDO","Lewis WA","16500","Centralia, WA","16500"," "
"98591","TOLEDO","Lewis WA","16500","Centralia, WA","16500"," "
"98591","TOLEDO","Lewis WA","16500","Centralia, WA","16500"," "
"98592","UNION","Mason WA","43220","Shelton, WA","43220"," "
"98593","VADER","Lewis WA","16500","Centralia, WA","16500"," "
"98595","WESTPORT","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98596","WINLOCK","Lewis WA","16500","Centralia, WA","16500"," "
"98596","WINLOCK","Lewis WA","16500","Centralia, WA","16500"," "
"98596","WINLOCK","Lewis WA","16500","Centralia, WA","16500"," "
"98596","WINLOCK","Lewis WA","16500","Centralia, WA","16500"," "
"98597","YELM","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98597","YELM","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"985XX","985XX","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"985XX","985XX","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"985XX","985XX","Mason WA","43220","Shelton, WA","43220"," "
"985XX","985XX","Pacific WA",NA," ",NA," "
"98601","AMBOY","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98601","AMBOY","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98601","AMBOY","Cowlitz WA","31020","Longview, WA","31020"," "
"98602","APPLETON","Klickitat WA",NA," ",NA," "
"98602","APPLETON","Klickitat WA",NA," ",NA," "
"98603","ARIEL","Cowlitz WA","31020","Longview, WA","31020"," "
"98604","BATTLE GROUND","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
"98604","BATTLE GROUND","Clark WA","38900","Portland-Vancouver-Hillsboro, OR-WA","38900"," "
