"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio","ZCTA5","MSA.code","MSA.name"
106,"CAM Academy","Battle Ground School District","B",585,"26:1","98604","38900","Portland-Vancouver-Hillsboro,OR-WA"
107,"Mead Senior High School","Mead School District","B",1577,"21:1","99218","44060","Spokane-SpokaneValley,WA"
108,"Cascade High School","Everett School District","B",1812,"23:1","98203","42644","Seattle-Bellevue-Everett,WA"
109,"Hazen Senior High School","Renton School District","B",1547,"24:1","98059","42644","Seattle-Bellevue-Everett,WA"
110,"Tumwater High School","Tumwater School District","B",1177,"21:1","98501","36500","Olympia-Tumwater,WA"
113,"Technology Engineering & Communications High School","Highline School District","B",290,"17:1","98501","36500","Olympia-Tumwater,WA"
114,"Cashmere High School","Cashmere School District","B",485,"20:1","98501","36500","Olympia-Tumwater,WA"
115,"Sehome High School","Bellingham School District","B",1142,"23:1","98225","13380","Bellingham,WA"
116,"South Whidbey High School","South Whidbey School District","B",516,"19:1","98260","36020","OakHarbor,WA"
117,"Windward High School","Ferndale School District","B",190,"25:1","98501","36500","Olympia-Tumwater,WA"
118,"Chief Sealth International High School","Seattle Public Schools","B",1221,"18:1","98126","42644","Seattle-Bellevue-Everett,WA"
119,"Asotin Junior/Senior High School","Asotin-Anatone School District","B",341,"29:1","98501","36500","Olympia-Tumwater,WA"
120,"Richland High School","Richland School District","B",2047,"25:1","99352","28420","Kennewick-Richland,WA"
121,"Stevenson High School","Stevenson-Carson School District","B",302,"21:1","98648","38900","Portland-Vancouver-Hillsboro,OR-WA"
122,"Woodland High School","Woodland School District","B",651,"21:1","98674","31020","Longview,WA"
122,"Woodland High School","Woodland School District","B",651,"21:1","98674","38900","Portland-Vancouver-Hillsboro,OR-WA"
123,"Kittitas High School","Kittitas School District","B",367,"19:1","98934","21260","Ellensburg,WA"
125,"Chelan High School","Lake Chelan School District","B",419,"18:1","98816","48300","Wenatchee,WA"
126,"Capital High School","Olympia School District","B",1402,"22:1","98502","36500","Olympia-Tumwater,WA"
126,"Capital High School","Olympia School District","B",1402,"22:1","98502","43220","Shelton,WA"
127,"Curlew School","Curlew School District","B",194,"11:1","98501","36500","Olympia-Tumwater,WA"
128,"Lynnwood High School","Edmonds School District","B",1445,"21:1","98012","42644","Seattle-Bellevue-Everett,WA"
129,"Stadium High School","Tacoma School District","B",1680,"23:1","98501","36500","Olympia-Tumwater,WA"
130,"Mountlake Terrace High School","Edmonds School District","B",1270,"21:1","98043","42644","Seattle-Bellevue-Everett,WA"
132,"Colton School","Colton School District","B",166,"11:1","99113","39420","Pullman,WA"
133,"Spokane Valley High School","West Valley School District (Spokane)","B",107,"13:1","99212","44060","Spokane-SpokaneValley,WA"
134,"Everett High School","Everett School District","B",1435,"21:1","98201","42644","Seattle-Bellevue-Everett,WA"
135,"Manson Junior/Senior High School","Manson School District","B",193,"14:1","98501","36500","Olympia-Tumwater,WA"
136,"Washington Virtual Academy High School - Omak","Omak School District","B",816,"29:1","98501","36500","Olympia-Tumwater,WA"
137,"La Conner High School","La Conner School District","B",227,"15:1","98257","34580","MountVernon-Anacortes,WA"
138,"J.M. Weatherwax High School","Aberdeen School District","B",909,"18:1","98501","36500","Olympia-Tumwater,WA"
139,"Entiat Junior/Senior High School","Entiat School District","B",193,"14:1","98501","36500","Olympia-Tumwater,WA"
140,"Franklin Pierce High School","Franklin Pierce School District","B",1192,"20:1","98445","45104","Tacoma-Lakewood,WA"
141,"Franklin High School","Seattle Public Schools","B",1315,"20:1","98144","42644","Seattle-Bellevue-Everett,WA"
142,"Lindbergh Senior High School","Renton School District","B",1243,"22:1","98058","42644","Seattle-Bellevue-Everett,WA"
144,"Winlock Senior High School","Winlock School District","B",182,"16:1","98501","36500","Olympia-Tumwater,WA"
147,"Thomas Jefferson High School","Federal Way Public Schools","B",1830,"22:1","98501","36500","Olympia-Tumwater,WA"
148,"Cedarcrest High School","Riverview School District","B",970,"22:1","98019","42644","Seattle-Bellevue-Everett,WA"
149,"Marysville-Pilchuck Pathways of Choice High School","Marysville School District","B",1253,"22:1","98501","36500","Olympia-Tumwater,WA"
150,"West Valley High School","West Valley School District (Spokane)","B",904,"19:1","99212","44060","Spokane-SpokaneValley,WA"
152,"Wenatchee High School","Wenatchee School District","B",2195,"22:1","98801","48300","Wenatchee,WA"
153,"Ridgefield High School","Ridgefield School District","B",681,"25:1","98642","38900","Portland-Vancouver-Hillsboro,OR-WA"
154,"Klahowya Secondary School","Central Kitsap School District","B",930,"21:1","98501","36500","Olympia-Tumwater,WA"
155,"A.G. West Black Hills High School","Tumwater School District","B",867,"21:1","98501","36500","Olympia-Tumwater,WA"
156,"Wilson High School","Tacoma School District","B",1268,"22:1","98501","36500","Olympia-Tumwater,WA"
157,"Meridian High School","Meridian School District","B",500,"19:1","98226","13380","Bellingham,WA"
157,"Meridian High School","Meridian School District","B",500,"19:1","98226","34580","MountVernon-Anacortes,WA"
158,"Mark Morris High School","Longview School District","B",918,"20:1","98632","31020","Longview,WA"
159,"Decatur High School","Federal Way Public Schools","B",1318,"21:1","98501","36500","Olympia-Tumwater,WA"
160,"Coupeville High School","Coupeville School District","B",297,"18:1","98239","36020","OakHarbor,WA"
161,"Zillah High School","Zillah School District","B",441,"20:1","98953","49420","Yakima,WA"
162,"Graham Kapowsin High School","Bethel School District","B",1855,"23:1","98338","45104","Tacoma-Lakewood,WA"
163,"Kennewick High School","Kennewick School District","B",1526,"21:1","99336","28420","Kennewick-Richland,WA"
164,"Hockinson High School","Hockinson School District","B",700,"21:1","98606","38900","Portland-Vancouver-Hillsboro,OR-WA"
165,"Darrington High School","Darrington School District","B",144,"13:1","98501","36500","Olympia-Tumwater,WA"
166,"Skyview High School","Vancouver School District","B",2035,"23:1","98685","38900","Portland-Vancouver-Hillsboro,OR-WA"
167,"Colfax High School","Colfax School District","B-",299,"18:1","99111","39420","Pullman,WA"
168,"Fife High School","Fife School District","B-",778,"22:1","98424","45104","Tacoma-Lakewood,WA"
169,"Avanti High School","Olympia School District","B-",155,"20:1","98501","36500","Olympia-Tumwater,WA"
