"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio"
NA,"Mossyrock Middle/High School","Mossyrock School District, WA","B-","246","16:1"
NA,"Charles Francis Adams High School","Clarkston School District, WA","B-","775","19:1"
NA,"Prosser High School","Prosser School District, WA","B-","898","21:1"
NA,"Rogers High School","Spokane School District, WA","B-","1582","17:1"
NA,"Pateros High School","Pateros School District, WA","B-","144","11:1"
NA,"Tonasket High School","Tonasket School District, WA","B-","311","14:1"
NA,"Ephrata High School","Ephrata School District, WA","B-","705","22:1"
NA,"Todd Beamer High School","Federal Way Public Schools, WA","C+","1779","22:1"
NA,"Bonney Lake High School","Sumner School District, WA","C+","1353","20:1"
NA,"West Auburn Senior High School","Auburn School District, WA","C+","261","15:1"
NA,"Yelm High School","Yelm School District, WA","C+","1284","22:1"
NA,"On Track Academy","Spokane School District, WA","C+","277","13:1"
NA,"River Ridge High School","North Thurston Public Schools, WA","C+","1061","18:1"
NA,"Rainier Senior High School","Rainier School District, WA","C+","272","16:1"
NA,"Odessa High School","Odessa School District, WA","C+","96","11:1"
NA,"White River High School","White River School District, WA","C+","1212","21:1"
NA,"Forks High School","Quillayute Valley School District, WA","C+","464","20:1"
NA,"Crescent School","Crescent School District, WA","C+","219","10:1"
NA,"Raymond Junior/Senior High School","Raymond School District, WA","C+","264","12:1"
NA,"Shadle Park High School","Spokane School District, WA","C+","1440","19:1"
NA,"Lakewood High School","Lakewood School District, WA","C+","737","24:1"
NA,"Arts & Academics Academy","Highline School District, WA","C+","294","18:1"
NA,"Morton Junior/Senior High School","Morton School District, WA","C+","139","15:1"
NA,"Marysville Mountain View High School","Marysville School District, WA","C+","228","18:1"
NA,"University High School","Central Valley School District, WA","C+","1823","21:1"
NA,"Deer Park Home Link Program","Deer Park School District, WA","C+","468","52:1"
NA,"Rivers Edge High School","Richland School District, WA","C+","207","15:1"
NA,"Bio Med Academy","Marysville School District, WA","C+","404","24:1"
NA,"Renton Senior High School","Renton School District, WA","C+","1342","22:1"
NA,"Spanaway Lake High School","Bethel School District, WA","C+","1665","22:1"
NA,"Wahkiakum High School","Wahkiakum School District, WA","C+","155","20:1"
NA,"Sedro Woolley Senior High School","Sedro-Woolley School District, WA","C+","1188","20:1"
NA,"Stanwood High School","Stanwood-Camano School District, WA","C+","1421","22:1"
NA,"Big Picture School","Highline School District, WA","C+","190","12:1"
NA,"Willapa Valley Junior/Senior High School","Willapa Valley School District, WA","C+","165","12:1"
NA,"Montesano Junior/Senior High School","Montesano School District, WA","C+","605","19:1"
NA,"East Valley High School","East Valley School District (Yakima), WA","C+","852","18:1"
NA,"East Valley High School & Extension","East Valley School District (Spokane), WA","C+","1042","17:1"
NA,"Jenkins Junior/Senior High School","Chewelah School District, WA","C+","444","17:1"
NA,"Bremerton High School","Bremerton School District, WA","C+","1238","19:1"
NA,"Centralia High School","Centralia School District, WA","C+","1088","20:1"
NA,"White Pass Junior/Senior High School","White Pass School District, WA","C+","226","17:1"
NA,"Evergreen High School","Evergreen Public Schools, WA","C+","1808","21:1"
NA,"Chimacum High School","Chimacum School District, WA","C+","335","22:1"
NA,"Ferndale High School","Ferndale School District, WA","C+","1502","23:1"
NA,"Riverpoint Academy","Mead School District, WA","C+","126","17:1"
NA,"Mt. Tahoma High School","Tacoma School District, WA","C+","1530","22:1"
NA,"Foster Senior High School","Tukwila School District, WA","C+","924","21:1"
NA,"Rochester High School","Rochester School District, WA","C+","649","20:1"
NA,"Highland High School","Highland School District, WA","C+","381","16:1"
NA,"Rainier Beach High School","Seattle Public Schools, WA","C+","598","17:1"
NA,"South Kitsap High School","South Kitsap School District, WA","C+","2000","22:1"
NA,"Chiawana High School","Pasco School District, WA","C+","2393","20:1"
